date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-18T14:17:47+00:00,2636,27.3,81.6,18.4,22.7,2.79418,404.45422
2025-06-18T14:18:37+00:00,2637,27.3,81.5,18.8,24.3,2.7877,404.45422
2025-06-18T14:19:26+00:00,2638,27.2,81.6,18.1,23.5,2.94647,404.48685
2025-06-18T14:20:16+00:00,2639,27.2,81.7,18.3,23.1,2.98729,404.45422
2025-06-18T14:21:05+00:00,2640,27.2,81.8,18.3,24.6,2.91951,404.41376
2025-06-18T14:21:54+00:00,2641,27.2,81.8,18.1,25.8,2.98729,404.51965
2025-06-18T14:22:44+00:00,2642,27.2,81.7,18.2,23.1,2.94647,404.38959
2025-06-18T14:23:33+00:00,2643,27.2,81.7,18.4,24.0,2.94647,404.53613
2025-06-18T14:24:22+00:00,2644,27.2,81.6,18.6,25.9,2.83327,404.41376
2025-06-18T14:25:12+00:00,2645,27.2,81.7,18.6,23.9,3.00099,404.45422
2025-06-18T14:26:01+00:00,2646,27.1,81.7,18.6,23.4,3.09839,404.15411
2025-06-18T14:26:50+00:00,2647,27.1,81.8,18.3,23.4,2.98729,404.46237
2025-06-18T14:27:40+00:00,2648,27.1,81.8,18.9,25.5,2.97363,404.47867
2025-06-18T14:28:29+00:00,2649,27.1,81.8,18.3,24.0,2.87945,404.47052
2025-06-18T14:29:18+00:00,2650,27.1,81.9,19.3,24.7,3.00099,404.46237
